REF_AREA,ACTIVITY,OBS_VALUE,TIME_PERIOD,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,distance,density_norm,clase_titulo,seccion_codigo,seccion_titulo
HND,0810,194.0,2019,53,11,0,-1.1439451466634083,-1.8680238583022497,0.289431240958284,0.02175665854353447,0.12483449246495161,0.3593023758836715,0.710568759041716,-0.9667110371384079,"Extracción de piedra, arena y arcilla",B,Explotación de minas y canteras
HND,0899,5.0,2019,53,9,0,-1.1439451466634083,0.7375322912206715,0.25054109691625753,0.02175665854353447,0.6541646338167234,0.2213869302992535,0.7494589030837424,-1.3861004661476257,Explotación de otras minas y canteras n.c.p.,B,Explotación de minas y canteras
HND,1061,0.0,2019,53,11,0,-1.1439451466634083,-0.4499391441890539,0.29198541394854965,0.02175665854353447,0.4786062143126439,0.0,0.7080145860514504,-0.9391669593684541,Elaboración de productos de molinería,C,Industrias manufactureras
HND,1071,4601.0,2019,53,9,0,-1.1439451466634083,-1.2624531832420365,0.281675883409271,0.02175665854353447,0.4639193169030766,0.7821276461567264,0.718324116590729,-1.0503444371774528,Elaboración de productos de panadería,C,Industrias manufactureras
HND,1073,200.0,2019,53,10,0,-1.1439451466634083,-2.6800711373117734,0.31675174305703735,0.02175665854353447,-0.001967946706596952,0.2553604991824546,0.6832482569429627,-0.6720880662628217,Elaboración de cacao y chocolate y de productos de confitería,C,Industrias manufactureras
HND,1074,77.0,2019,53,8,0,-1.1439451466634083,-2.0531477857167135,0.2788361455114686,0.02175665854353447,0.24450883978222615,0.3306011816847896,0.7211638544885314,-1.0809680330738367,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",C,Industrias manufactureras
HND,1075,41.0,2019,53,7,0,-1.1439451466634083,4.148892242540875,0.2186694170229965,0.02175665854353447,1.3264426203427897,0.09738461871116452,0.7813305829770035,-1.7298031178414512,Elaboración de comidas y platos preparados,C,Industrias manufactureras
HND,1101,87.0,2019,53,12,0,-1.1439451466634083,-1.4507976531168407,0.30246116440559306,0.02175665854353447,0.2650512235410507,0.43357027265615716,0.697538835594407,-0.8261969740201158,"Destilación, rectificación y mezcla de bebidas alcohólicas",C,Industrias manufactureras
HND,1102,1.0,2019,53,6,0,-1.1439451466634083,-1.8124472961620488,0.28929539029784257,0.02175665854353447,0.23681379002979558,0.02177105981233647,0.7107046097021574,-0.9681760440782506,Elaboración de vinos,C,Industrias manufactureras
HND,1312,276.0,2019,53,5,0,-1.1439451466634083,0.363028432342907,0.23651011328041965,0.02175665854353447,0.7359871161190346,0.7152692950248446,0.7634898867195803,-1.5374099138347501,Tejedura de productos textiles,C,Industrias manufactureras
HND,1393,0.0,2019,53,4,0,-1.1439451466634083,0.39487241524649835,0.2168017014331425,0.02175665854353447,0.497777595429565,0.0,0.7831982985668575,-1.7499444722662127,Fabricación de tapices y alfombras,C,Industrias manufactureras
HND,1394,0.0,2019,53,9,0,-1.1439451466634083,-0.2539113256116107,0.3014828159370003,0.02175665854353447,0.45423947505280166,0.0,0.6985171840629997,-0.8367474365016061,"Fabricación de cuerdas, cordeles, bramantes y redes",C,Industrias manufactureras
HND,1511,2.0,2019,53,5,0,-1.1439451466634083,-2.8425147609336934,0.289025482803942,0.02175665854353447,0.11457619085370668,0.011247403379626762,0.710974517196058,-0.9710867134146751,Curtido y adobo de cueros; adobo y teñido de pieles,C,Industrias manufactureras
HND,1520,141.0,2019,53,10,0,-1.1439451466634083,-2.806078990126335,0.300585491159546,0.02175665854353447,0.03715643280149245,0.11825633623274627,0.699414508840454,-0.8464241434236917,Fabricación de calzado,C,Industrias manufactureras
HND,1621,103.0,2019,53,9,0,-1.1439451466634083,-1.362981061170594,0.2823993381326643,0.02175665854353447,0.24114120325135358,0.24194696591156636,0.7176006618673356,-1.0425427364938538,Fabricación de hojas de madera para enchapado y tableros a base de madera,C,Industrias manufactureras
HND,1622,641.0,2019,53,10,0,-1.1439451466634083,0.25741473680436955,0.24090976809075954,0.02175665854353447,0.7147259557360286,0.5312965435742021,0.7590902319092405,-1.4899642495360494,Fabricación de partes y piezas de carpintería para edificios y construcciones,C,Industrias manufactureras
HND,1623,56.0,2019,53,9,0,-1.1439451466634083,-1.914482625653008,0.2685057915499162,0.02175665854353447,0.22053960420344532,0.1495579974110841,0.7314942084500837,-1.1923700696596808,Fabricación de recipientes de madera,C,Industrias manufactureras
HND,1701,94.0,2019,53,8,0,-1.1439451466634083,2.04812182193822,0.24594564872623217,0.02175665854353447,1.1217164101920456,0.17263173280965943,0.7540543512737679,-1.435657556766099,"Fabricación de pasta de madera, papel y cartón",C,Industrias manufactureras
HND,1702,953.0,2019,53,7,0,-1.1439451466634083,-1.4278825798660149,0.26833513403850523,0.02175665854353447,0.43112243372094616,0.7601084315676704,0.7316648659614948,-1.1942104319938867,Fabricación de papel y cartón ondulado y de envases de papel y cartón,C,Industrias manufactureras
HND,1811,168.0,2019,53,14,0,-1.1439451466634083,-0.7898168676604518,0.2863522686673812,0.02175665854353447,0.4889537788693243,0.09585815672675102,0.7136477313326188,-0.9999145251383877,Impresión,C,Industrias manufactureras
HND,1920,6.0,2019,53,10,0,-1.1439451466634083,-1.675361275457936,0.29825037968119117,0.02175665854353447,0.2498353126354313,0.01445857013437725,0.7017496203188088,-0.8716058724633634,Fabricación de productos de la refinación del petróleo,C,Industrias manufactureras
HND,2011,354.0,2019,53,6,0,-1.1439451466634083,5.5559241261524805,0.18438619859348895,0.02175665854353447,1.7416075823359896,0.2679972159224985,0.8156138014065111,-2.0995116842641397,Fabricación de sustancias químicas básicas,C,Industrias manufactureras
HND,2012,38.0,2019,53,13,0,-1.1439451466634083,-0.02023911425791134,0.2935695885595973,0.02175665854353447,0.604065587947921,0.16543325291269398,0.7064304114404028,-0.9220832971207594,Fabricación de abonos y compuestos de nitrógeno,C,Industrias manufactureras
HND,2021,128.0,2019,53,8,0,-1.1439451466634083,-1.0055824979914711,0.29684588304842396,0.02175665854353447,0.3414090633434467,0.9613457558491434,0.703154116951576,-0.8867518960991996,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,C,Industrias manufactureras
HND,2022,16.0,2019,53,5,0,-1.1439451466634083,1.3237676931007158,0.2256047380798043,0.02175665854353447,1.0350973862559658,0.02282948959656354,0.7743952619201957,-1.6550129516012062,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas",C,Industrias manufactureras
HND,2029,41.0,2019,53,8,0,-1.1439451466634083,2.0563813755097406,0.23867619217200992,0.02175665854353447,1.2603166000576473,0.049203795754524035,0.76132380782799,-1.51405102402063,Fabricación de otros productos químicos n.c.p.,C,Industrias manufactureras
HND,2219,714.0,2019,53,8,0,-1.1439451466634083,-0.94016388438356,0.23902765216223446,0.02175665854353447,0.694272739988979,0.7141195232400855,0.7609723478377656,-1.5102608965153017,Fabricación de otros productos de caucho,C,Industrias manufactureras
HND,2220,4260.0,2019,53,7,0,-1.1439451466634083,-0.8941972487015877,0.256453996914559,0.02175665854353447,0.6992400102466976,0.6944209613362959,0.743546003085441,-1.3223360390630547,Fabricación de productos de plástico,C,Industrias manufactureras
HND,2310,285.0,2019,53,8,0,-1.1439451466634083,0.16188943693278943,0.242904394777668,0.02175665854353447,0.8323560536911849,0.2989293787630297,0.757095605222332,-1.4684542919898622,Fabricación de vidrio y productos de vidrio,C,Industrias manufactureras
HND,2392,12.0,2019,53,8,0,-1.1439451466634083,-2.1889030034242345,0.2763107911032539,0.02175665854353447,0.17612612131656083,0.025348094475572958,0.7236892088967462,-1.108201332651297,Fabricación de materiales de construcción de arcilla,C,Industrias manufactureras
HND,2393,60.0,2019,53,6,0,-1.1439451466634083,-0.5674197581247038,0.22259505164912813,0.02175665854353447,0.7520535741265848,0.2246718774364002,0.7774049483508718,-1.687469264241603,Fabricación de otros productos de porcelana y de cerámica,C,Industrias manufactureras
HND,2395,780.0,2019,53,14,0,-1.1439451466634083,0.5843729838579368,0.27522501184272863,0.02175665854353447,0.7416017763149647,0.7364036604512835,0.7247749881572714,-1.1199103235876549,"Fabricación de artículos de hormigón, cemento y yeso",C,Industrias manufactureras
HND,2396,36.0,2019,53,6,0,-1.1439451466634083,-2.0201349479024517,0.25591539734617613,0.02175665854353447,0.18663686660392234,0.07106496071831492,0.7440846026538239,-1.3281442707117883,"Corte, talla y acabado de la piedra",C,Industrias manufactureras
HND,2399,7.0,2019,53,11,0,-1.1439451466634083,0.37488248535449786,0.2704171781225709,0.02175665854353447,0.7691183565569666,0.01760015093195866,0.7295828218774292,-1.1717577694723824,Fabricación de otros productos minerales no metálicos n.c.p.,C,Industrias manufactureras
HND,2410,389.0,2019,53,5,0,-1.1439451466634083,0.2822719273695254,0.20554926779774013,0.02175665854353447,1.1104095511782988,0.21153453356250876,0.7944507322022598,-1.8712901713774268,Industrias básicas de hierro y acero,C,Industrias manufactureras
HND,2420,167.0,2019,53,8,0,-1.1439451466634083,0.842853496495043,0.2698261814817192,0.02175665854353447,0.8956722393191567,0.2529077786386998,0.7301738185182808,-1.1781310486118295,Fabricación de productos primarios de metales preciosos y otros metales no ferrosos,C,Industrias manufactureras
HND,2431,22.0,2019,53,7,0,-1.1439451466634083,-1.499151330594297,0.2708547535070205,0.02175665854353447,0.5698203167613142,0.04301549303917547,0.7291452464929795,-1.1670389777282713,Fundición de hierro y acero,C,Industrias manufactureras
HND,2432,6.0,2019,53,6,0,-1.1439451466634083,-1.2432465826659505,0.21398468638375934,0.02175665854353447,0.6652040433857435,0.012975266987576665,0.7860153136162407,-1.7803230260662315,Fundición de metales no ferrosos,C,Industrias manufactureras
