codigo,codigo_nuevo,clasificador,nombre_actividad
4774,0,ciiu_rev_4,Venta al por menor de artículos de segunda mano
9529,0,ciiu_rev_4,Reparación de otros efectos personales y enseres domésticos
445132,0,naics_2022,Vending Machine Operators
4782,0,ciiu_rev_4,"Venta al por menor de productos textiles, prendas de vestir y calzado en puestos de venta y mercados"
459410,0,naics_2022,Office Supplies and Stationery Retailers
459930,0,naics_2022,Manufactured (Mobile) Home Dealers
445230,0,naics_2022,Fruit and Vegetable Retailers
4742,0,ciiu_rev_4,Venta al por menor de equipo de sonido y de video en comercios especializados
4753,0,ciiu_rev_4,"Venta al por menor de tapices, alfombras y cubrimientos para paredes y pisos en comercios especializados"
456120,0,naics_2022,"Cosmetics, Beauty Supplies, and Perfume Retailers"
445250,0,naics_2022,Fish and Seafood Retailers
449129,0,naics_2022,All Other Home Furnishings Retailers
449110,0,naics_2022,Furniture Retailers
459999,0,naics_2022,All Other Miscellaneous Retailers
4741,0,ciiu_rev_4,"Venta al por menor de ordenadores (computadoras), equipo periférico, programas de informática y equipo de telecomunicaciones en comercios especializados"
456199,0,naics_2022,All Other Health and Personal Care Retailers
4721,0,ciiu_rev_4,Venta al por menor de alimentos en comercios especializados
459110,0,naics_2022,Sporting Goods Retailers
4759,0,ciiu_rev_4,"Venta al por menor de aparatos eléctricos de uso doméstico, muebles, equipo de iluminación y otros enseres domésticos en comercios especializados"
459910,0,naics_2022,Pet and Pet Supplies Retailers
456110,0,naics_2022,Pharmacies and Drug Retailers
4722,0,ciiu_rev_4,Venta al por menor de bebidas en comercios especializados
445320,0,naics_2022,"Beer, Wine, and Liquor Retailers"
4761,0,ciiu_rev_4,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados"
4789,0,ciiu_rev_4,Venta al por menor de otros productos en puestos de venta y mercados
4791,0,ciiu_rev_4,Venta al por menor por correo y por Internet
457210,0,naics_2022,Fuel Dealers
4751,0,ciiu_rev_4,Venta al por menor de productos textiles en comercios especializados
449210,0,naics_2022,Electronics and Appliance Retailers
445298,0,naics_2022,All Other Specialty Food Retailers
459210,0,naics_2022,Book Retailers and News Dealers
444240,0,naics_2022,"Nursery, Garden Center, and Farm Supply Retailers"
4781,0,ciiu_rev_4,"Venta al por menor de alimentos, bebidas y tabaco en puestos de venta y mercados"
444120,0,naics_2022,Paint and Wallpaper Retailers  
459991,0,naics_2022,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers"
458320,0,naics_2022,Luggage and Leather Goods Retailers
455110,0,naics_2022,Department Stores
445240,0,naics_2022,Meat Retailers
458310,0,naics_2022,Jewelry Retailers
456191,0,naics_2022,Food (Health) Supplement Retailers
4799,0,ciiu_rev_4,"Otras actividades de venta al por menor no realizadas en comercios, puestos de venta o mercados"
4762,0,ciiu_rev_4,Venta al por menor de grabaciones de música y de video en comercios especializados
459920,0,naics_2022,Art Dealers
444230,0,naics_2022,Outdoor Power Equipment Retailers
459120,0,naics_2022,"Hobby, Toy, and Game Retailers"
459510,0,naics_2022,Used Merchandise Retailers
4764,0,ciiu_rev_4,Venta al por menor de juegos y juguetes en comercios especializados
458110,0,naics_2022,Clothing and Clothing Accessories Retailers
4773,0,ciiu_rev_4,Venta al por menor de otros productos nuevos en comercios especializados
456130,0,naics_2022,Optical Goods Retailers
441330,0,naics_2022,Automotive Parts and Accessories Retailers
459140,0,naics_2022,Musical Instrument and Supplies Retailers
458210,0,naics_2022,Shoe Retailers
445291,0,naics_2022,Baked Goods Retailers 
445131,0,naics_2022,Convenience Retailers
444180,0,naics_2022,Other Building Material Dealers
444140,0,naics_2022,Hardware Retailers
4771,0,ciiu_rev_4,"Venta al por menor de prendas de vestir, calzado y artículos de cuero en comercios especializados"
459420,0,naics_2022,"Gift, Novelty, and Souvenir Retailers"
459130,0,naics_2022,"Sewing, Needlework, and Piece Goods Retailers"
444110,0,naics_2022,Home Centers
455211,0,naics_2022,Warehouse Clubs and Supercenters
455219,0,naics_2022,All Other General Merchandise Retailers
445292,0,naics_2022,Confectionery and Nut Retailers   
4723,0,ciiu_rev_4,Venta al por menor de productos de tabaco en comercios especializados
449122,0,naics_2022,Window Treatment Retailers
4719,0,ciiu_rev_4,Otras actividades de venta al por menor en comercios no especializados
4752,0,ciiu_rev_4,"Venta al por menor de artículos de ferretería, pinturas y productos de vidrio en comercios especializados"
449121,0,naics_2022,Floor Covering Retailers
459310,0,naics_2022,Florists
4772,0,ciiu_rev_4,"Venta al por menor de productos farmacéuticos y médicos, cosméticos y artículos de tocador en comercios especializados"
333914,1,naics_2022,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
2930,1,ciiu_rev_4,"Fabricación de partes, piezas y accesorios para vehículos automotores"
2816,1,ciiu_rev_4,Fabricación de equipo de elevación y manipulación
333112,1,naics_2022,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
336120,1,naics_2022,Heavy Duty Truck Manufacturing
332911,1,naics_2022,Industrial Valve Manufacturing
336390,1,naics_2022,Other Motor Vehicle Parts Manufacturing
336330,1,naics_2022,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
336213,1,naics_2022,Motor Home Manufacturing
336110,1,naics_2022,Automobile and Light Duty Motor Vehicle Manufacturing
331222,1,naics_2022,Steel Wire Drawing
3099,1,ciiu_rev_4,Fabricación de otros tipos de equipo de transporte n.c.p.
333924,1,naics_2022,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
336340,1,naics_2022,Motor Vehicle Brake System Manufacturing
336320,1,naics_2022,Motor Vehicle Electrical and Electronic Equipment Manufacturing
2910,1,ciiu_rev_4,Fabricación de vehículos automotores
333921,1,naics_2022,Elevator and Moving Stairway Manufacturing
336999,1,naics_2022,All Other Transportation Equipment Manufacturing
336310,1,naics_2022,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
2813,1,ciiu_rev_4,"Fabricación de otras bombas, compresores, grifos y válvulas"
336211,1,naics_2022,Motor Vehicle Body Manufacturing
311520,2,naics_2022,Ice Cream and Frozen Dessert Manufacturing
1050,2,ciiu_rev_4,Elaboración de productos lácteos
311941,2,naics_2022,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
311911,2,naics_2022,Roasted Nuts and Peanut Butter Manufacturing
311512,2,naics_2022,Creamery Butter Manufacturing
311612,2,naics_2022,Meat Processed From Carcasses
311999,2,naics_2022,All Other Miscellaneous Food Manufacturing
311513,2,naics_2022,Cheese Manufacturing
311920,2,naics_2022,Coffee and Tea Manufacturing
1079,2,ciiu_rev_4,Elaboración de otros productos alimenticios n.c.p.
311511,2,naics_2022,Fluid Milk Manufacturing
311423,2,naics_2022,Dried and Dehydrated Food Manufacturing
311942,2,naics_2022,Spice and Extract Manufacturing
311514,2,naics_2022,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
311411,2,naics_2022,"Frozen Fruit, Juice, and Vegetable Manufacturing"
311991,2,naics_2022,Perishable Prepared Food Manufacturing
1030,2,ciiu_rev_4,"Elaboración y conservación de frutas, legumbres y hortalizas"
311930,2,naics_2022,Flavoring Syrup and Concentrate Manufacturing
311421,2,naics_2022,Fruit and Vegetable Canning
