HS12,Actividad,World Trade,World Trade M,Distance,PCI,Opportunity Gain
6307,Otros artículos confeccionados,17165819200,17165.8192,0.80941373,-0.27993354,0.03413283
5806,Tejidos estrechos,4320190212,4320.190212,0.8291135,0.11138525,0.19031867
5609,"Artículos de hilados, cuerdas, etc., no clasificados en otra parte",839818832,839.818832,0.83372873,0.17936262,0.18986557
5808,Trenzas en pieza,444366009,444.366009,0.83391535,-0.12570235,0.1550016
5515,Otros tejidos de fibras sintéticas discontinuas,4033882503,4033.882503,0.8378384,0.05233364,0.22981218
9401,Asientos,85941448652,85941.448652,0.83798313,0.33263963,0.21769366
5601,Guata de materias textiles,2880550786,2880.550786,0.8394684,-0.06618273,0.17599243
6001,"Tejidos de pelo, punto",6556339655,6556.339655,0.84052324,0.10892375,0.0
5702,Alfombras y tapetes tejidos,5355649759,5355.649759,0.8422693,-0.22711626,0.067976035
5511,"Hilo de fibras sintéticas discontinuas, destinado a la venta al por menor",474309709,474.309709,0.84420806,-0.027661933,0.020254305
5514,"Tejidos con < 85 % de fibras sintéticas discontinuas, con un peso > 170 g/m²",1986896476,1986.896476,0.8460705,-0.17309554,0.17982161
6308,Juegos de costura de tela e hilo,82377148,82.377148,0.8484133,0.426631,0.0
5811,Productos textiles acolchados,233801211,233.801211,0.8491698,0.28157163,0.22135341
5510,"Hilo de fibras artificiales discontinuas, no destinado a la venta al por menor",1155962965,1155.962965,0.8503253,0.39778644,0.19965677
6002,"Tejidos de punto, >5% de hilo elastomérico o hilo de caucho",437879337,437.879337,0.85300493,0.20327535,0.25429198
5407,Tejidos de filamento sintético,29919046563,29919.046563,0.8539968,-0.18416207,0.14001031
5506,"Fibras sintéticas discontinuas, procesadas",259084677,259.084677,0.8542328,-0.26492313,0.16745165
5703,Alfombras de mechón insertado,6760832746,6760.832746,0.8547537,0.22388835,0.16278
6303,Cortinas,5454103109,5454.103109,0.8567672,0.17360376,0.21458611
5705,Otras alfombras,2633461083,2633.461083,0.85858715,-0.01268748,0.11241064
5602,Fieltro,1407305726,1407.305726,0.85913235,0.64377993,0.35463747
5501,Estopa de filamento sintético,837721732,837.721732,0.85968405,0.05246947,0.16801023
5512,Tejidos con > 85 % de fibras sintéticas discontinuas,2915918946,2915.918946,0.8613067,0.12039855,0.25535643
5207,Hilo de algodón para la venta al por menor,438823941,438.823941,0.8616759,0.10375255,0.16092835
5701,Alfombras de nudo,869389338,869.389338,0.86256105,-0.21087584,0.18708679
6005,Tejidos de punto por urdimbre,3501746391,3501.746391,0.8633578,0.6310196,0.32895017
5306,Hilo de lino,483895280,483.89528,0.8637076,0.18312953,0.20763965
5902,Tejido para neumáticos,2638393377,2638.393377,0.8703428,1.0170205,0.2887099
5704,Alfombras de fieltro,580695096,580.695096,0.871344,0.41779852,0.21734539
5408,Tejidos de filamento artificial,1097486195,1097.486195,0.87134504,0.4819413,0.32511446
5516,Tejidos de fibras artificiales discontinuas,4739559932,4739.559932,0.87254155,0.21788807,0.0
5311,Tejidos de fibras textiles vegetales,122108564,122.108564,0.87263364,-0.054753963,0.0
5301,"Lino, crudo o procesado",1816415954,1816.415954,0.87501377,-0.14460894,0.16423649
5603,Textiles no tejidos,16532488180,16532.48818,0.87599766,0.538093,0.39533582
5109,"Hilo de lana o pelo animal, destinado a la venta al por menor",461222727,461.222727,0.8777441,0.09654313,0.22894204
5801,Tejidos de felpa,2169128783,2169.128783,0.8786682,0.86285967,0.32834673
5309,Tejidos de lino,2399423450,2399.42345,0.87946516,0.691238,0.32870078
5504,"Fibras artificiales discontinuas, sin procesar para hilado",3054568642,3054.568642,0.8802833,0.8228284,0.16777653
5911,Artículos textiles para uso técnico,5470579541,5470.579541,0.88089114,0.973959,0.42328614
5111,Tejidos de lana cardada,815165050,815.16505,0.881434,0.7108554,0.3052446
5112,Tejidos de lana peinada,1643833477,1643.833477,0.88240725,0.7057143,0.3249669
5604,Textiles de caucho,842153675,842.153675,0.8847364,0.6680239,0.36401963
5606,Hilo trenzado,597772714,597.772714,0.8855331,0.97197545,0.35141742
5406,Hilo de filamento sintético para la venta al por menor,144613703,144.613703,0.8857551,0.2797243,0.0
5403,Hilo de filamento artificial,1525855563,1525.855563,0.8861509,0.7534256,0.38531333
5903,Tejidos impregnados con plástico,14028044059,14028.044059,0.89399767,0.77813745,0.2819772
5910,Correas de transmisión o Cinturones de materia textil,664727413,664.727413,0.89494514,1.1933647,0.49822468
5007,Tejidos de seda,786008338,786.008338,0.8953854,0.17755462,0.27594677
5906,Tejidos cauchutados,1649798410,1649.79841,0.89589274,0.9521826,0.4240304
5909,Mangueras y tubos similares de materia textil,413596661,413.596661,0.897401,0.87271076,0.36617598
5502,Estopa de filamento artificial,2144341277,2144.341277,0.90004927,0.45030278,0.34675503
5905,Revestimientos textiles para paredes,141018617,141.018617,0.9016795,1.0205716,0.0
5904,Linóleo,249597771,249.597771,0.9023524,0.77504325,0.19621183
5907,"Otros tejidos impregnados, recubiertos o revestidos",811058573,811.058573,0.9050724,1.04714,0.26963603
9702,Grabados originales,649109636,649.109636,0.93494254,0.7029847,0.26706043
