seccion_codigo,seccion_titulo,division_codigo,division_titulo,grupo_codigo,grupo_titulo,clase_codigo,clase_titulo,base_oecd,países oecd con información,base hnd,incluye
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",11,Cultivo de plantas no perennes,111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas",,,111,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",11,Cultivo de plantas no perennes,112,Cultivo de arroz,,,,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",11,Cultivo de plantas no perennes,113,"Cultivo de hortalizas y melones, raíces y tubérculos",,,113,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",11,Cultivo de plantas no perennes,114,Cultivo de caña de azúcar,,,114,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",11,Cultivo de plantas no perennes,115,Cultivo de tabaco,,,115,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",11,Cultivo de plantas no perennes,116,Cultivo de plantas de fibra,,,,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",11,Cultivo de plantas no perennes,119,Cultivo de otras plantas no perennes,,,119,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",12,Cultivo de plantas perennes,121,Cultivo de uva,,,121,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",12,Cultivo de plantas perennes,122,Cultivo de frutas tropicales y subtropicales,,,122,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",12,Cultivo de plantas perennes,123,Cultivo de cítricos,,,123,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",12,Cultivo de plantas perennes,124,Cultivo de frutas de pepita y de hueso,,,124,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",12,Cultivo de plantas perennes,125,Cultivo de otros frutos y nueces de árboles y arbustos,,,125,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",12,Cultivo de plantas perennes,126,Cultivo de frutos oleaginosos,,,126,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",12,Cultivo de plantas perennes,127,Cultivo de plantas con las que se preparan bebidas,,,127,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",12,Cultivo de plantas perennes,128,"Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas",,,128,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",12,Cultivo de plantas perennes,129,Cultivo de otras plantas perennes,,,129,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",13,Propagación de plantas,130,Propagación de plantas,,,130,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",14,Ganadería,141,Cría de ganado bovino y búfalos,,,141,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",14,Ganadería,142,Cría de caballos y otros equinos,,,,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",14,Ganadería,143,Cría de camellos y otros camélidos,,,143,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",14,Ganadería,144,Cría de ovejas y cabras,,,,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",14,Ganadería,145,Cría de cerdos,,,145,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",14,Ganadería,146,Cría de aves de corral,,,146,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",14,Ganadería,149,Cría de otros animales,,,149,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",15,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta),150,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta),,,150,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",16,Actividades de apoyo a la agricultura y la ganadería y actividades poscosecha,161,Actividades de apoyo a la agricultura,,,161,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",16,Actividades de apoyo a la agricultura y la ganadería y actividades poscosecha,162,Actividades de apoyo a la ganadería,,,162,0
A,"Agricultura, ganadería, silvicultura y pesca",1,"Agricultura, ganadería, caza y actividades de servicios conexas",16,Actividades de apoyo a la agricultura y la ganadería y actividades poscosecha,163,Actividades poscosecha,,,163,0
